# dotfiles-Offense/install/offensive-packages.txt
# ──────────────────────────────────────────────────────────────────────────────
# The offensive tool layer for Kali (apt). The Core modern-CLI stack lives in
# the normal install/packages.txt; THIS file is the role layer on top of it.
# bootstrap.sh installs these AFTER the OS + Core layers.
#
# Most are in Kali's repos (`sudo apt install <pkg>`). The handful that aren't
# packaged (or move faster than the repo) are flagged → install via their own
# upstream method, same pattern Core already uses for starship/atuin on some
# distros.
#
# ⚠ Authorized engagements only. Installing ≠ permission to use.
# ──────────────────────────────────────────────────────────────────────────────

# ── Network / Active Directory ────────────────────────────────────────────────
netexec              # nxc — successor to CrackMapExec (CME archived 2023)
#                    # Identical failure mode and the identical reason: build-essential's gcc is native
#                    # x86-64 and has no 32-bit libs, so the old-PoC rebuild dies on <bits/libc-header-start.h>
# hexyl is deliberately NOT here, and the absence is the whole point: `apt install hexyl`
# does not resolve on Kali today, so listing it would hand test/check-packages.sh a name
# that cannot resolve. The REASON is narrower than this note used to claim ("there is no
# hexyl package in Kali at all"): the source package `rust-hexyl` — which builds a `hexyl`
# binary package — has been imported into and removed from kali-rolling REPEATEDLY (0.4.0,
# 0.5.1, 0.7.0, 0.8.0, most recently 0.16.0-4), following Debian testing each time. It is
# out right now, which is why the conclusion holds; it can come back without warning, so
# re-check before assuming this note is still current. exploitdev's bad-char
# VERIFY step invokes it and install/tools.lst probes it detect-only, both pending
# dotgibson/dotfiles-core#395. Until Core lands it, `cargo install hexyl` by hand — or use
# the `xxd` fallback exploitdev now names.

# ── Recon / OSINT ─────────────────────────────────────────────────────────────
amass
subfinder
dnsx
# bbot              → UPSTREAM (pipx install bbot): recon engine. NOT packaged in Kali at all —
#                     absent from main/contrib/non-free and pkg.kali.org 404s, so this is not
#                     suite drift. The line that was here named `bbot` as an apt package with a
#                     "(pipx/upstream if the repo build lags)" hedge that implied a repo build
#                     exists; none ever has. Same unresolvable-name class the hexyl note above
#                     exists to forbid. install/tools.lst's `bbot` probe and HAVE_BBOT stay
#                     correct either way — pipx puts a bare `bbot` on PATH.
theharvester
masscan
exploitdb            # searchsploit — offline Exploit-DB CLI; `redup` refreshes it. Ships in
#                    # kali-linux-default; list it so a slim box (and redup) has it.
#                    # ⚠ on a DEB install `searchsploit -u` is an APT TRANSACTION, not a git pull:
#                    # the script probes `apt-cache search "^exploitdb$"`, finds it, and runs
#                    # `sudo apt update && sudo apt -y install exploitdb` (escalating on its own),
#                    # falling through to its git branch only where apt AND brew both miss. So the
#                    # refresh can move apt STATE, not just a data dir — which is why redup's
#                    # warning is "never mid-engagement" and not merely "it re-downloads exploits".
#                    # It also exits 6, not 0, after any successful update; see redup's note.
# TeamFiltration    → UPSTREAM: not in apt (dotnet) — github.com/Flangvik/TeamFiltration
#                     (M365/Entra enum + password spray + exfil; the tool behind
#                     hacktheplanet's M365 flow)
# onedrive_enum.py  → UPSTREAM (github.com/nyxgeek/onedrive_user_enum): M365 user validation
#                     via OneDrive (hacktheplanet's M365 enum line). Not in apt — git clone.
# AADInternals      → UPSTREAM (PowerShell Gallery: `Install-Module AADInternals`): the Entra ID
#                     toolkit behind hacktheplanet's `Invoke-AADIntReconAsOutsider` line and the
#                     corpus' device-code-phish entry, which invokes
#                     `Get-AADIntAccessTokenForMSGraph`. Not apt — a pwsh module, and it wants a
#                     Windows/PowerShell host rather than Kali. Operator-side external recon
#                     (unauth, pre-access), which is why it lives here and not in the
#                     target-dropped section.
# ROADtools         → UPSTREAM (PyPI `roadrecon` + `roadtx`) and the ONE upstream tool this
#  (roadrecon,        file names that `--install` REALLY INSTALLS: bootstrap's
#   roadtx)           _install_apt_absent pipx-installs both on every route, Kali included.
#                     dirkjanm's Entra toolkit — roadrecon enumerates the directory into a
#                     local DB + web UI, roadtx does token manipulation and auth flows
#                     (device code among them). It USED to be here rather than in the
#                     corpus-only block below because no red entry invoked it: the corpus
#                     cited ROADtools as device-code-phish's `source:` and then ran only
#                     AADInternals PowerShell. htpx fixed that entry — it now carries
#                     `roadtx gettokens --device-code` as the Linux half of the flow — so the
#                     corpus does invoke it, and corpus-commands.lst classifies it against
#                     this line. The placement is unchanged; only the reason is. Every OTHER
#                     UPSTREAM line in this file is a note telling YOU to go install
#                     something; this one is not, and the asymmetry is deliberate — nothing
#                     on any route apt-installs it, so the bootstrap does. See
#                     dotgibson/dotfiles-Offense#231.

# ── Cloud / SaaS / CI-CD ──────────────────────────────────────────────────────
# This block exists for the COMPANION CORPUS, not for hacktheplanet. ~55 of the corpus'
# red entries are cloud/SaaS/CI-CD, and the flat views deliberately don't mirror them
# (hacktheplanet is per-service/per-port; cloud has no port). But ~/companion is
# symlinked and `htpx` is a first-class alias — pick `aws-iam-backdoor-key`, hit `clip`,
# and you need the CLI in PATH. These are the vendor CLIs those entries actually invoke.
awscli               # `aws` — Kali ships AWS CLI v2, NOT the old v1 (different flags, different auth)
azure-cli            # `az` — Entra/Azure. In Kali apt; no Microsoft repo needed
kubectl              # from the `kubernetes` source pkg (also builds kubernetes-client) — that
#                    # provenance is right; the CURRENCY it left unstated is the problem.
#                    # ⚠ OUT OF THE SUPPORTED SKEW, not merely stale. kali-rolling is 1.33.4+ds-1
#                    # (imported 2025-10-02) against upstream stable v1.37.0 (2026-08-26).
#                    # Kubernetes supports kubectl within ±1 MINOR of the apiserver, so a 1.33
#                    # client covers clusters 1.32–1.34 and is UNSUPPORTED against 1.35/1.36/1.37.
#                    # That is a documented support window, not a version-number aesthetic, and it
#                    # degrades the corpus' k8s-* entries that sit under peirates above.
#                    # This package does not track upstream and never has: Debian carried an ancient
#                    # 1.20 for years, kali-rolling REMOVED it 2024-12-10, and it only returned at
#                    # 1.33.4. If a cluster's version matters to the engagement, take the client
#                    # from pkgs.k8s.io (Kubernetes' own apt repo) — the same shape as the
#                    # google-cloud-cli / gh / vault pointers above — rather than trusting this line.
pacu                 # Rhino Security Labs' AWS exploitation framework — the corpus' AWS privesc/persistence entries
peirates             # Kubernetes privesc + pivot (the k8s-* entries)
#                    # ⚠ CURRENCY, previously unstated — and this line's silence was conspicuous:
#                    # the kubectl note directly above reasons carefully about version skew and
#                    # ends by saying it degrades "the corpus' k8s-* entries that sit under peirates
#                    # above". The file was reasoning ABOUT peirates while leaving peirates itself
#                    # unannotated, which is the unmarked-gap class it keeps correcting.
#                    # kali is 1.1.28-0kali1 = upstream v1.1.28 (2025-07-26). Upstream was quiet for
#                    # about a year and then WOKE UP: v1.1.29, v1.1.30 and v1.1.31 all landed inside
#                    # a few weeks (latest 2026-09-04). So this is NOT a freeze — it is apt lagging
#                    # a project that just resumed, the opposite disposition from the frozen tools
#                    # above, and the reason to state it rather than leave it blank.
#                    # BOTH HALVES OF THE K8S PIVOT PATH ARE NOW STALE and only kubectl said so.
#                    # kali-linux-EVERYTHING only, so this line is what puts it on a normal box.
npm                  # `npm` — the npm-* supply-chain entries (owner-add, 2FA-disable, malicious-publish)
twine                # PyPI upload — the pypi-* supply-chain entries
docker.io            # `docker` — harbor-* image/artifact entries; also how caldera below runs
# google-cloud-cli  → UPSTREAM (Google's own apt repo / the install script): `gcloud` is not in
#                     Debian or Kali. Backs the gcp-* entries.
# gh                → UPSTREAM: WAS apt — gh 2.46.0-3 was REMOVED from kali-rolling 2025-12-10,
#                     so it's the GitHub apt repo or the release binary now. Backs the gh-*
#                     entries (deploy-key backdoor, branch-protection off, self-hosted runner).
# vault             → UPSTREAM (HashiCorp's apt repo): BUSL-licensed, so not in Debian/Kali.
#                     Backs the vault-* entries (approle backdoor, audit-disable, secret exfil).
# Okta and GitLab entries are pure REST — curl + a token, nothing to install. Snowflake's
# three are SQL run in a session (they carry ```sql fences, not ```sh, which is why the corpus
# gate never sees a command in them) and `slack-2fa-disable` is a console toggle with no
# command at all. Still nothing to install for any of those — but they are not curl either,
# which is what this line used to claim of all five services at once.
# ⚠ TERRAFORM CLOUD IS THE ONE THAT IS NOT REST-ONLY, and this line asserted it was.
# `tfc-agent-hijack` creates the agent pool over REST and then RUNS `tfc-agent` — a HashiCorp
# release binary, on infrastructure YOU control, so the workspace's runs execute where you can
# read them. It is accounted for under "Operator-side tooling, not in apt" below, and that
# entry already says it "corrects this file's older claim that the Terraform Cloud entries are
# pure REST": the correction was written at that end and never applied at this one. The other
# two (`tfc-token-backdoor`, `tfc-var-injection`) really are curl-only.
# trufflehog is CONSIDERED AND NOT LISTED, recorded so the decision isn't accidental. It IS in
# kali apt (3.94.3-0kali1) and it is a genuinely good fit for what this block is FOR — "find the
# leaked key" is the missing first step of most of the gh-*/npm-*/pypi-* supply-chain entries.
# It is held out on this file's own membership rule, not on merit: nothing in the docs and no
# corpus entry invokes it, and this block lists the CLIs those entries actually run. The doc or
# corpus edit is the prerequisite; once one names it, `trufflehog` is a plain apt line here.

# ── C2 / adversary emulation ──────────────────────────────────────────────────
metasploit-framework
sliver               # Go C2, the open-source standard — APT-PACKAGED, and long has been:
#                    # kali-rolling has carried it since 1.1.1-0kali2 (Jul 2021). The Mar 2026
#                    # event was the 1.7.1-0kali4 VERSION migration, not the packaging.
#                    # Ships sliver-client + sliver-server — the binary names offensive.zsh
#                    # already probes and aliases, so only this manifest lagged; retires the
#                    # old `curl https://sliver.sh/install | sudo bash`.
#                    # ⚠ CURRENCY: apt runs SEVERAL RELEASES behind and the gap keeps widening.
#                    # Kali froze at 1.7.1-0kali4 in Mar 2026 and has not moved since; upstream had
#                    # already cut 1.7.2 and 1.7.3 when that migration landed, so it shipped a build
#                    # that was stale on arrival, and upstream has kept releasing with implant and
#                    # stability fixes each time.
#                    # NO UPSTREAM HEAD IS NAMED HERE, deliberately, and this is the THIRD wording
#                    # of that lesson. The note first said "TWO patches behind" (wrong within five
#                    # months), then "past 1.7.6" (one notch ahead of the facts), then "1.7.6 IS the
#                    # head" — which held for six days. A head written into prose is stale before
#                    # the next sync; a patch COUNT is stale faster. Check `sliver-server version`
#                    # against upstream's releases page before an op instead.
#                    # WHAT THE RECENT RELEASES CONTAIN sharpens the warning rather than repeating
#                    # it: 1.7.6 bounds mTLS/WireGuard envelope and pivot-frame allocation from the
#                    # length prefix and fixes DNS varint boundary handling. Those are
#                    # memory-exhaustion bounds on the paths that FACE THE NETWORK, not cosmetic
#                    # stability — and kali's 1.7.1 runs them unhardened. Fine for a C2 you
#                    # re-profile anyway — but it is not "~a patch", and the implant is the half
#                    # that ages.
adaptixc2            # AdaptixC2 (Adaptix-Framework/AdaptixC2) — Go teamserver + Qt client, and
#                    # the actively-developed slot now that havoc below is frozen. In kali apt.
#                    # ⚠ its DEFAULT server profiles are heavily fingerprinted — publicly
#                    # scanned/tracked and seen in real intrusions. Profile it before you use
#                    # it; that's a reason to configure it, not a reason to skip it.
#                    # ⚠ CURRENCY: apt ships a git SNAPSHOT (1.1~git20260208, migrated Mar 2026).
#                    # Upstream's Releases PAGE is empty, but TAGS are not: v1.0 (2026-01-03), then
#                    # v1.1 and v1.2 (both 2026-03-04). Nor does it roll on `main` — `main` last moved
#                    # 2026-03-04 and work lands on version branches (dev-v1.3 May 2026, testing-v2.0
#                    # Aug 2026; that Aug push is testing-v2.0, not main). So the apt snapshot predates
#                    # the v1.1 tag (Debian ordering sorts 1.1~git20260208 BEFORE 1.1), sits a minor
#                    # behind tagged v1.2, and two behind what is in flight — and there IS a tag to
#                    # judge that by. Profile churn is exactly what an old snapshot misses, which is
#                    # what the warning above depends on.
# havoc             → UPSTREAM build (github.com/HavocFramework/Havoc).
#                     NOTE: upstream ARCHIVED (Feb 2026; last push Dec 2025). Kali still ships
#                     havoc 0.6~git20251218, so it's FROZEN, not gone — same honest status as
#                     kerbrute above. Keep it for existing muscle memory; new work goes to
#                     `adaptixc2`.
caldera              # adversary emulation, ATT&CK-mapped — APT-PACKAGED, and the `→ UPSTREAM/docker`
#                    # pointer that was here was simply wrong: kali-rolling carries `caldera`
#                    # (5.3.0-0kali2) and it installs /usr/bin/caldera, a wrapper around server.py.
#                    # Same error class this file already records fixing for sliver above.
#                    # ⚠ it pulls a ~70 MB Python dependency chain. It IS in kali-linux-large
#                    # (this note previously said "in NO kali-linux-* metapackage" — verified
#                    # wrong via `apt-cache rdepends caldera`), but NOT in kali-linux-default,
#                    # so a default or slim box still needs this line.
#                    # Moved MITRE → APACHE (apache/caldera; donated to the Incubator 2025-12-19,
#                    # with the in-tree rebrand following Jul 2026; mitre/caldera redirects). Still
#                    # no Apache release — the last is v5.3.0 (Apr 2025). Active — that cadence is
#                    # the transition, not EOL.

# Covert-channel egress — the corpus' dns-tunnel-c2 / icmp-tunnel-c2 entries. Test them
# against your OWN infrastructure; a real egress path out of a client network is a finding,
# not a toy. All apt except icmpsh. ALL FIVE ARE FROZEN, DEAD, OR BEHIND — each carries its
# status below rather than letting the block read as if any of them were live.
# ⚠ THAT INCLUDES ptunnel-ng, which this header used to except as "the CURRENT upstream".
# Its VERSION claim is right (kali 1.43-2 IS upstream v1.43) but its VITALITY claim was not:
# v1.43's own release note says "due to time constraints, there will be no further
# publications in the near future" (tagged 2024-11-27) and master has not moved since
# 2024-04-07. It froze at a version apt happens to have. It is the maintained-ER fork of
# the two ptunnels, not a live project — which is still the right reason to prefer it, and
# a much better description of covert-channel egress tooling as a whole than implying one
# live option exists here. Budget for replacing this category, not for it improving.
iodine               # IP-over-DNS to a zone you delegate (you run the authoritative NS)
#                    # NOTE: apt is a full RELEASE behind — kali ships 0.7.0-13 while upstream's
#                    # latest tag is v0.8.0. Upstream is alive (commits into 2025), just slow to
#                    # release, and the protocol has not moved — 0.7.0 still interoperates.
dnscat2              # DNS C2 — provides dnscat2-client + dnscat2-server
#                    # NOTE: upstream FROZEN — v0.07 (2016) is still its LAST release, and kali's
#                    # 0.07-0kali2 IS that release. Commits trickled on to 2024 without cutting a
#                    # new one, so apt is not behind here; there is simply nothing newer to have.
#                    # Same honest status as mitm6 above — keep it, the technique is the tool.
ptunnel              # proxy a TCP session inside ICMP echo.
#                    # NOTE: FROZEN — Stødle's original stopped at 0.72 and kali's 0.72-4 is it.
#                    # SUPERSEDED by ptunnel-ng below, which is where new work should go. This
#                    # line stays for one mechanical reason: the corpus still invokes the bare
#                    # `ptunnel` binary (entries/red/icmp-tunnel-c2.md), and
#                    # test/check-corpus-commands.sh — offline and REQUIRED — resolves that name
#                    # against THIS file, so dropping the line reds a blocking gate. Retire it
#                    # once that entry moves, which is an upstream change in dotgibson/htpx:
#                    # entries/ is a vendored subtree and must not be hand-edited here.
ptunnel-ng           # the MAINTAINED fork (utoni/ptunnel-ng, redirected from lnslbrty) — this is
#                    # the one to reach for. kali 1.43-2 IS upstream's latest release (v1.43), so
#                    # apt is CURRENT here, unlike every other line in this block.
#                    # ⚠ NOT a drop-in rename: it is not flag-compatible with ptunnel. The
#                    # original's `-lp/-da/-dp` became `-l/-r/-R` —
#                    #   ptunnel    -p <proxy> -lp <port> -da 127.0.0.1 -dp 22
#                    #   ptunnel-ng -p <proxy> -l  <port> -r  127.0.0.1 -R  22
#                    # — so retargeting the corpus entry is a REWRITE, not a sed. It also ships
#                    # only /usr/bin/ptunnel-ng: no `ptunnel` binary and no alternatives symlink,
#                    # which is the other half of why the line above cannot just be replaced.
# icmpsh            → UPSTREAM (github.com/bdamele/icmpsh): the ICMP reverse shell paired with
#                     ptunnel in the corpus entry. Not packaged in Kali — git clone.
#                     NOTE: DEAD — last push 2018-04-06 and it has never cut a release. Kept
#                     because the victim-side one-liner still runs and nothing has replaced it.
# dnstt is CONSIDERED AND NOT LISTED, recorded so the decision isn't accidental. It is held
# out on this file's membership rule — the trufflehog/PrivescCheck disposition — not on merit:
# no doc and no corpus entry names it. Not in apt either, so adopting it would be an
# → UPSTREAM pointer, and the doc-or-corpus edit is the prerequisite, exactly as trufflehog
# and PrivescCheck carry.
# ⚠ CORRECTING THE SCAN THAT PROPOSED IT (#275): dnstt is NOT frozen. Its latest module is
# v1.20260501.0 (2026-05-01) — the 2024-10-21 the report quoted is the version before that —
# so it is the ONE LIVE UPSTREAM in this whole category, the thing this block's header (all
# five members frozen/dead/behind) cannot currently point you at. It does NOT add a sixth
# frozen entry, which was the filed reason to skip it.
# It is also a genuinely DIFFERENT egress shape: DoH/DoT-capable, versus iodine's
# delegate-a-zone / run-the-authoritative-NS model. Canonical source is the SELF-HOSTED
# www.bamsoftware.com/git/dnstt.git (David Fifield, CC0); every github.com hit is a mirror or
# fork — the iphelix/pack trap, once more.

# atomic-operator is CONSIDERED AND REJECTED, recorded because a future scan WILL propose it
# again as a lighter caldera — it is an Atomic Red Team runner, and caldera above is the
# heavyweight in this slot. Kali advertised it as a NEW TOOL in the 2026.1 release post and
# ships it today (source `atomic-operator`, binary `python3-atomic-operator` — the
# package/binary split snmpcheck and httpx-toolkit above already document).
# ⚠ THE REASON TO SKIP IT IS UPSTREAM, NOT PACKAGING: swimlane/atomic-operator has been
# ARCHIVED since 2024-07-17 — eighteen months BEFORE Kali packaged it — and its last release
# is v0.9.1 (2023-12-24), which is what 0.9.1-0kali2 is. BEING NEW TO APT IS NOT BEING ALIVE.
# That is the whole lesson: a tool's arrival in kali-rolling says something about Kali's
# packaging queue and nothing about whether anyone still maintains the code.
# NO LIGHTER SUBSTITUTE FOR CALDERA EXISTS ON LINUX as a result. The Atomic Red Team CORPUS
# is alive and well maintained; the maintained RUNNER for it is PowerShell/Windows-side
# (Invoke-AtomicRedTeam), so there is no Linux-native replacement to reach for — caldera
# stays the adversary-emulation entry, weight and all.

# ── Credential attacks ────────────────────────────────────────────────────────
hashid               # ID the hash mode before you burn GPU — the cracking entrypoint; ships in
#                    # kali-linux-default.
#                    # NOTE: upstream FROZEN (psypanda/hashID — not archived, but no commit since
#                    # Jun 2022) while this line calls it "the cracking entrypoint", so say so.
#                    # Keep it, and keep it as the entrypoint: it matches hash FORMATS, and those
#                    # do not churn — a 2022 table still identifies NTLM, krb5 and bcrypt fine.
#                    # What a frozen table misses is NEW formats; that is when you reach for the
#                    # maintained alternative on the next line. Annotated for the same reason
#                    # kerbrute, mitm6 and havoc are.
#                    # ⚠ THAT GAP IS NARROWER THAN IT WAS, because the CRACKER learned the job:
#                    # hashcat 7 (in kali since 2026-04-22, currently 7.1.2+ds1-4) AUTODETECTS the
#                    # hash mode when you omit `-m`. So the "frozen table misses new formats" risk
#                    # now has a second backstop below the identifier, and the honest ordering is
#                    # hashid for a fast read, hashcat's own autodetect when the table comes up
#                    # empty. Noted because it changes what this line is FOR, not whether to keep
#                    # it. (hashcat 7.0.0 removed no options and renumbered no modes, so nothing
#                    # in the cracking folds broke on that major — a rare one.)
# name-that-hash    → IN KALI APT (1.11.0-0kali1), and deliberately NOT installed. The pointer
#                     here used to read "UPSTREAM (pip install name-that-hash)", which was wrong
#                     the same way caldera's UPSTREAM/docker pointer was: it routed an operator to
#                     pip for something apt already ships. The DECISION is unchanged and stands on
#                     its own — it is the alternate identifier hacktheplanet offers beside hashid,
#                     ranking candidate modes with hashcat/john numbers instead of a bare list,
#                     which is nicer output for the same job, so it stays optional rather than a
#                     second installed default. It is also the MAINTAINED half of the pair — commits
#                     to Dec 2025 (bee-san/Name-That-Hash, redirected from HashPals) against
#                     hashID's Jun 2022 freeze — so if you add one extra identifier, make it this
#                     one: `sudo apt install name-that-hash`, no pip involved.
hashcat
john                 # john-the-ripper
hydra
seclists             # /usr/share/seclists — wordlists the helpers expect
cupp                 # OSINT-driven wordlist from a target profile (`cupp -i`) — hacktheplanet's targeted-wordlist block
mimikatz             # IS an apt package on Kali, but what it installs is WINDOWS binaries under
#                    # /usr/share/windows-resources/mimikatz — you drop them on the target, you
#                    # don't run them here. Backs hacktheplanet's DCShadow block (lsadump::dcshadow)
#                    # and the corpus' dcshadow / golden-ticket / silver-ticket / dpapi entries.
# The rest of that block is doc-only — targeted-wordlist generators that beat raw
# rockyou on corporate password policy, but that apt does not carry:
# exrex             → UPSTREAM (pip install exrex): regex → every matching string.
#                     Season+Year lists in hacktheplanet's targeted-wordlist block.
pack                 # PACK — mask profiler: statsgen/maskgen profile a real dump's masks so you
#                    # crack within THIS org's policy. hacktheplanet's targeted-wordlist block runs
#                    # `statsgen ntds.txt -o org.masks && maskgen org.masks --optindex -o org.hcmask`.
#                    # ⚠ THIS WAS `→ UPSTREAM (github.com/iphelix/pack) … no apt package`, AND BOTH
#                    # HALVES WERE WRONG — the fifth instance of the error class this file already
#                    # records fixing for caldera, name-that-hash, evilginx2 and sliver: a manifest
#                    # that sends you upstream for something apt already ships.
#                    # apt HAS it (0.0.4+git20191128.fd779b2-0kali3, arch all), and what apt ships is
#                    # NOT the Python-2 original: `Depends: python3, python3-enchant`, and the
#                    # package's own Homepage field is github.com/Hydraze/pack — the MAINTAINED
#                    # Python-3 fork (last push 2024-07-28). iphelix's original is dead (not
#                    # archived; last push 2019-12-10), so the old pointer aimed an operator at a
#                    # six-year-dead Py2 repo for something `sudo apt install pack` supplies working.
#                    # Verified on-box: /usr/bin/{statsgen,maskgen,policygen,rulegen,dictstat}.
#                    # `dictstat` is a fifth, legacy binary the old note did not know about; there is
#                    # NO kwp here — see the next line, which depends on this block naming
#                    # iphelix/pack and is left intact for that reason.
# kwp               → UPSTREAM (github.com/hashcat/kwprocessor): the keyboard-walk
#                     generator, hashcat's own tool and not part of PACK. hacktheplanet's
#                     `kwp basechars/… keymaps/… routes/…` invocation is verbatim
#                     kwprocessor; following a pointer to iphelix/pack lands you in a repo
#                     that does not contain it.
# hate_crack        → UPSTREAM (github.com/trustedsec/hate_crack): chains dict → rules
#                     → mask automatically. Referenced as a comment in hacktheplanet.
evilginx2            # AitM reverse-proxy phishing framework — the `aitm-phish` corpus entry.
#                    # Its lines are typed at the `evilginx>` console, not at a shell.
#                    # ⚠ credential-harvesting infrastructure — written ROE and an authorized
#                    # engagement, never a lab shortcut. (Installing it is still fine; see this
#                    # file's header — installing ≠ permission to use.)
#                    # MOVED HERE from the "Operator-side tooling, not in apt" block, where it was
#                    # annotated `→ UPSTREAM (go install or release binary)`. Both the pointer and
#                    # the block membership were wrong: kali-rolling ships `evilginx2`
#                    # (3.3.0+ds1-0kali1), which IS upstream's latest release (v3.3.0, Apr 2024),
#                    # so building it by hand bought nothing. Same error class as caldera and
#                    # name-that-hash above — a manifest that sends you upstream for something apt
#                    # already carries. No kali-linux-* metapackage short of
#                    # kali-linux-everything pulls it (not default, not large), so a normal box
#                    # really does need this line.

# ── Operator-side tooling, not in apt ─────────────────────────────────────────
# These run on the ATTACKER box (unlike the target-dropped block below) and have no Kali
# package. Most are invoked by a red corpus entry — they were unaccounted until
# test/check-corpus-commands.sh started resolving corpus commands (#208), the same class
# of gap that let `impacket-petitpotam` ship. A few (sccmhunter, pxethiefy) are named by
# hacktheplanet rather than the corpus, which is the same accounting obligation: this file
# accounts for every tool the DOCS *and* the corpus name (see the target-dropped block).
# MSOLSpray         → UPSTREAM (github.com/dafthack/MSOLSpray): the M365/Entra password
#                     spray in `valid-accounts-cloud`. That entry invokes it as
#                     `python3 MSOLSpray.py`, so unlike AADInternals above it is NOT
#                     Windows-only — the script has to be present operator-side on Linux,
#                     and `python3` is classified `base` in install/corpus-commands.lst
#                     for exactly that line. dafthack's own repo is PowerShell; the .py the
#                     entry names is a port, and htpx does not say which one — worth
#                     pinning upstream (dotgibson/htpx) rather than guessing here.
# tfc-agent         → UPSTREAM (HashiCorp release binary): the Terraform Cloud agent, run
#                     on infrastructure YOU control so a workspace's runs execute where you
#                     can read them (`tfc-agent-hijack`). NOT target-dropped, which is why
#                     it sits here — it corrects this file's older claim that the Terraform
#                     Cloud entries are pure REST.
# sccmhunter        → UPSTREAM (github.com/garrettfoster13/sccmhunter, NOT on PyPI):
#                     `pipx install git+https://github.com/garrettfoster13/sccmhunter/`.
#                     The SCCM/MECM site-takeover + NAA-extraction toolkit in hacktheplanet's
#                     SCCM fold. Two gotchas that make the difference between it installing
#                     and not: the binary is `sccmhunter.py`, not a bare `sccmhunter`, and
#                     pyproject pins its ldap3 to the ly4k fork via [tool.uv.sources], which
#                     pip/pipx IGNORE — so the README venv route (requirements.txt) is the
#                     fallback when the pipx one misbehaves. Wants Python >= 3.13. This is
#                     why it is NOT wired into --install like ROADtools: a git+URL with a
#                     Python floor and a silently-dropped dep pin is a best-effort loop that
#                     fails quietly, and a documented manual step beats that. See #230.
# pxethiefy         → UPSTREAM (github.com/csandker/pxethiefy, git clone + a venv):
#                     the Linux PXE-boot-media credential thief in the same SCCM fold (the
#                     lighter cousin of MWR's Windows PXEThief). Single script, needs
#                     CAP_NET_RAW. The recovered blob cracks with hashcat -m 19850.

# ── Target-dropped enumeration (nothing to install HERE) ──────────────────────
# These run ON the target, not on the attacker box, so they're per-engagement
# downloads rather than apt packages. Listed only so the manifest accounts for
# every tool the DOCS *and* the COMPANION CORPUS name — ~/companion is symlinked
# and `htpx` is a first-class alias, so a corpus command an operator can `clip`
# is as load-bearing as a line in hacktheplanet:
# linpeas.sh        → UPSTREAM (github.com/peass-ng/PEASS-ng, release artifact):
#  / winPEAS          the automated privesc enumerators in hacktheplanet's Linux
#                     and Windows privesc folds. Fetch the release build per
#                     engagement — don't vendor a stale copy.
# pspy              → UPSTREAM (github.com/DominicBreuker/pspy, release binary): watch
#                     processes and cron fire WITHOUT root. The manual counterpart to
#                     linpeas in ippsec's privesc loop, which names the two together.
#                     ⚠ THE PACKAGING NOTE IS NARROWER THAN IT LOOKS. Kali DOES have a `pspy`
#                     package (1.2.1-0kali1 = upstream's latest release), so this block's blanket
#                     premise — "per-engagement downloads rather than apt packages" — is not true
#                     of pspy. The CONCLUSION still holds, and for a sharper reason than the block
#                     header gives: what apt ships is a Debian Go build for the HOST arch,
#                     dynamically linked (`Depends: libc6`, /usr/bin/pspy + the Go source under
#                     /usr/share/gocode). What you upload to a target is upstream's STATIC
#                     pspy32/pspy64 release binary, which runs on a box whose arch and libc you do
#                     not control. So apt's copy is for watching YOUR OWN box; the release binary
#                     is still the per-engagement download. Fetch it upstream — that part was
#                     right, just not because "there is no package".
# PowerUp.ps1       → APT, via the `powersploit` package — NOT an upstream fetch. This entry
#                     said "UPSTREAM (PowerSploit …)", but kali packages it
#                     (3.0.0+git20200817-0kali1) and drops the script at
#                     /usr/share/windows-resources/powersploit/Privesc/PowerUp.ps1. That is the
#                     SAME pattern as mimikatz above: a Linux package whose payload is Windows
#                     content you copy to the target, not something you run here. Deliberately
#                     still not an apt line — `powersploit` is pulled in by kali-linux-headless,
#                     so it is ALREADY on a default Kali box, and nothing in this layer invokes
#                     it — but "go fetch it from GitHub" was wrong.
#                     Invoke-AllChecks in the Windows privesc fold. PowerSploit itself is
#                     ARCHIVED (unmaintained since 2020). Kept because the checks still hold;
#                     winPEAS covers the same ground on a modern box. itm4n's PrivescCheck is
#                     the maintained analogue of Invoke-AllChecks and is CONSIDERED AND NOT
#                     LISTED for the same reason trufflehog is above: no doc names it, and this
#                     block accounts for what the docs and the corpus name. winPEAS is the
#                     alternative offered here meanwhile — a broad enumerator, not a targeted
#                     PowerShell check set, so the gap is real rather than covered. The doc edit
#                     is the prerequisite.
# PrintSpoofer64.exe→ UPSTREAM (github.com/itm4n/PrintSpoofer, release binary): the spoolss
#                     named-pipe SeImpersonate -> SYSTEM path in the Windows privesc fold.
#                     NOTE: upstream ARCHIVED (read-only since Sep 2024; last push 2020-09-10).
#                     Keep it — SeImpersonate -> SYSTEM is a Windows PRIVILEGE MODEL, not a bug
#                     someone will patch out, so a 2020 binary still fires. Annotated for the same
#                     reason mitm6 above is: this was the last unmarked freeze in the block, an
#                     omission rather than a judgement. GodPotato below is the live alternative
#                     when spoolss is disabled, not a replacement for this one.
# GodPotato         → UPSTREAM (github.com/BeichenDream/GodPotato, release binary): the DCOM
#                     variant of the same abuse, for when spoolss is disabled. Pick the build
